datasetid;recordid;record_timestamp;titre;commune;auteur;code_insee;nombre_de_prets_2017
statistiques-de-prets-de-dvd-en-2017-cesson-sevigne;74084ac0f1ed79e2e05543c4b95ed17bf91ea660;2018-07-11T14:46:04+02:00;Carnage;Cesson-Sévigné;Polanski Roman;35051.0;4.0
statistiques-de-prets-de-dvd-en-2017-cesson-sevigne;eca1ba6749f25185dfc0ab4c3c46bc88f3fa52fe;2018-07-11T14:46:04+02:00;Fedora;Cesson-Sévigné;Wilder Billy;35051.0;4.0
statistiques-de-prets-de-dvd-en-2017-cesson-sevigne;7759f7e7c9703a73366771a7a266f655d2578181;2018-07-11T14:46:04+02:00;la Grande séduction;Cesson-Sévigné;Pouliot Jean-François;35051.0;6.0
statistiques-de-prets-de-dvd-en-2017-cesson-sevigne;20665c366f9b5a072e25173894c4cad10c941859;2018-07-11T14:46:04+02:00;Les raisins de la colère;Cesson-Sévigné;Ford John;35051.0;5.0
statistiques-de-prets-de-dvd-en-2017-cesson-sevigne;97f9d3a6eb527185638788e4766612d6a5036199;2018-07-11T14:46:04+02:00;No country for old men;Cesson-Sévigné;Coen Ethan;35051.0;6.0
statistiques-de-prets-de-dvd-en-2017-cesson-sevigne;1e00dde370d47f52b446f5fdeaeac38adc2e3866;2018-07-11T14:46:04+02:00;Dancer in the dark;Cesson-Sévigné;Trier Lars von;35051.0;5.0
statistiques-de-prets-de-dvd-en-2017-cesson-sevigne;0c3d2ea311c3466f8c5354d5e8f54d09762815a3;2018-07-11T14:46:04+02:00;Le Jour le plus long;Cesson-Sévigné;Annakin Ken;35051.0;6.0
statistiques-de-prets-de-dvd-en-2017-cesson-sevigne;a7f16bdf97cbe8cf5348ec0371bb2fae66465527;2018-07-11T14:46:04+02:00;Dans la maison;Cesson-Sévigné;Ozon François;35051.0;6.0
statistiques-de-prets-de-dvd-en-2017-cesson-sevigne;0e4bc3ce2ba01679b9a15ce415185a05d956eef7;2018-07-11T14:46:04+02:00;Adieu ma concubine;Cesson-Sévigné;Kaige Chen;35051.0;5.0
statistiques-de-prets-de-dvd-en-2017-cesson-sevigne;986d72ea9f9e57f157566c9a37e0629dda8cf716;2018-07-11T14:46:04+02:00;2 days in Paris;Cesson-Sévigné;Delpy Julie;35051.0;6.0
statistiques-de-prets-de-dvd-en-2017-cesson-sevigne;950157d3ff174856c95729629c99370a41683486;2018-07-11T14:46:04+02:00;Pompéi;Cesson-Sévigné;Anderson Paul W.S;35051.0;6.0
statistiques-de-prets-de-dvd-en-2017-cesson-sevigne;b3b916a7f21b47f7c47f26ba3e3c22ab7ee7c259;2018-07-11T14:46:04+02:00;Ridicule;Cesson-Sévigné;Leconte Patrice;35051.0;6.0
statistiques-de-prets-de-dvd-en-2017-cesson-sevigne;1f44178363d3e84ea63f6e6e8b37004f781deed3;2018-07-11T14:46:04+02:00;Deux frères;Cesson-Sévigné;Annaud Jean-Jacques;35051.0;12.0
statistiques-de-prets-de-dvd-en-2017-cesson-sevigne;62b05d43d761f61a4e05ef17459ad4a4274b1f56;2018-07-11T14:46:04+02:00;Homesman (The);Cesson-Sévigné;Jones Tommy Lee;35051.0;13.0
statistiques-de-prets-de-dvd-en-2017-cesson-sevigne;653172f8009dd784bd87be7c6efd8ddf94f566b4;2018-07-11T14:46:04+02:00;Moka;Cesson-Sévigné;Mermoud Frédéric;35051.0;14.0
statistiques-de-prets-de-dvd-en-2017-cesson-sevigne;529433a1bbdaf59e3c0d19a96f0fbd0631476521;2018-07-11T14:46:04+02:00;Manhattan;Cesson-Sévigné;Allen Woody;35051.0;12.0
statistiques-de-prets-de-dvd-en-2017-cesson-sevigne;abd237b808dc3736f714e1489dfe3fcac937f6d2;2018-07-11T14:46:04+02:00;Her;Cesson-Sévigné;Jonze Spike;35051.0;12.0
statistiques-de-prets-de-dvd-en-2017-cesson-sevigne;2622b5c9171aed77340bc3b532dc77351b92e556;2018-07-11T14:46:04+02:00;Voyage en Chine;Cesson-Sévigné;35051.0;13.0
